1,"Keigo Higashino Collection Box: The Devotion of Suspect X, Salvation of a Saint, Malice",4.41,184 ratings,18 reviews,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1636180355l/32058483._SX318_.jpg,Keigo Higashino
2,The Miracles of the Namiya General Store,4.45,"17,411 ratings","3,312 reviews","When three delinquents hole up in an abandoned general store after their most recent robbery, to their great surprise, a letter drops through the mail slot in the store's shutter. This seemingly simple request for advice sets the trio on a journey of discovery as, over the course of a single night, they step into the role of the kindhearted former shopkeeper who devoted hi  ...more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564085721l/44287550.jpg,"Keigo Higashino, Sam Bett (Translator)"
3,The Devotion of Suspect X,4.15,"46,371 ratings","6,277 reviews","Yasuko lives a quiet life, working in a Tokyo bento shop, a good mother to her only child. But when her ex-husband appears at her door without warning one day, her comfortable world is shattered.  When Detective Kusanagi of the Tokyo Police tries to piece together the events of that day, he finds himself confronted by the most puzzling, mysterious circumstances he has ever  ...more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312051518l/8686068.jpg,"Keigo Higashino, Alexander O. Smith (Translator)"
4,Newcomer,4.05,"6,660 ratings","1,201 reviews","Detective Kyoichiro Kaga of the Tokyo Police Department has just been transferred to a new precinct in the Nihonbashi area of Tokyo. Newly arrived, but with a great deal of experience, Kaga is promptly assigned to the team investigating the murder of a woman. But the more he investigates, the greater number of potential suspects emerges. It isn’t long before it seems nearl  ...more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530346547l/33602102._SY475_.jpg,"Keigo Higashino, Giles Murray (Translator)"
5,Salvation of a Saint,3.98,"15,739 ratings","2,129 reviews","In 2011, The Devotion of Suspect X was a hit with critics and readers alike. The first major English language publication from the most popular bestselling writer in Japan, it was acclaimed as “stunning,” “brilliant,” and “ingenious.” Now physics professor Manabu Yukawa—Detective Galileo—returns in a new case of impossible murder, where instincts clash with facts and theor     ...more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495618717l/13506866._SX318_.jpg,"Keigo Higashino, Alexander O. Smith (Translator)"
6,Malice,4.01,"17,527 ratings","2,767 reviews","Acclaimed bestselling novelist Kunihiko Hidaka is found brutally murdered in his home on the night before he's planning to leave Japan and relocate to Vancouver. His body is found in his office, a locked room, within his locked house, by his wife and his best friend, both of whom have rock solid alibis. Or so it seems.  At the crime scene, Police Detective Kyoichiro Kaga re      ...more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497270264l/20613611._SY475_.jpg,"Keigo Higashino, Alexander O. Smith (Translator)"
7,The Name of the Game is a Kidnapping,3.75,"2,254 ratings",411 reviews,"Sakuma is a high-profile ad agent who was about to land one of the biggest gigs of his career. But he was betrayed by the owner of the company that just hired him.  Down on his luck and now on his way out career-wise, he planned to go publically chew out the man who brough him down. Instead, upon uncovering a deep secret, he devises a plan to bring down his new rival in a tw  ...more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1488294138l/28823155.jpg,Keigo Higashino
8,Journey Under the Midnight Sun,4.33,"12,136 ratings","1,722 reviews","When a man is found murdered in an abandoned building in Osaka in 1973, unflappable detective Sasagaki is assigned to the case. He begins to piece together the connection of two young people who are inextricably linked to the crime; the dark, taciturn son of the victim and the unexpectedly captivating daughter of the main suspect. Over the next twenty years we follow their  ...more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386409101l/19256975.jpg,"Keigo Higashino, Alexander O. Smith (Translator)"
9,白夜行 下,4.57,496 ratings,24 reviews,Traditional Chinese first edition can be found HERE  「在我們的頭上沒有太陽，一直都是夜晚， 但是卻不覺得黑暗，因為有能代替太陽的人在。」  他們為什麼如此輕易地抹煞別人的性命？ 他們為什麼毫無愧疚地奪取別人的靈魂？  一九七三年，大阪的廢棄大樓發現了一具他殺屍體，被害者之子桐原亮司與嫌疑犯之女西本雪穗，就此走上截然不同的道路。  桐原亮司拉皮條、盜賣電玩軟體、隱姓埋名竊取商業機密，不斷向下淪落；雪穗由親戚收養，就讀明星學校，成為同學豔羨的對象，儼如上流名媛。  然而，兩人身邊的人卻紛紛遭遇不幸，甚至死於非命，這是命運無情的操弄，還是潛藏著駭人的真相？  因為脆弱的純真受到傷害，所以必須捨棄而堅強，因為堅強，所以必須自過去、自記憶逃亡，從人間的律法道德，一直到狼狽不已、泯滅人性。              ...more,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1341936865l/15745357.jpg,"Keigo Higashino, 東野圭吾, 劉姿君 (Translator)"
10,Ảo Dạ,3.75,873 ratings,160 reviews,"Để thoát một khoản nợ, Masaya đã lợi dụng trận động đất kinh hoàng để giết chết ông cậu rồi dàn dựng thành một vụ tai nạn. Nhưng tất cả không qua được mắt Mifuyu, cô gái bí ẩn nhà hàng xóm. Mang theo bí mật của Masaya, Mifuyu cùng anh lên Tokyo, bỏ lại sau lưng một Kyoto hoang tàn sau cơn địa chấn.  Song ở nơi đô hội là một chuỗi bi kịch nối tiếp nhau, nơi bóng đen của tội á    ...more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521615917l/39336320._SY475_.jpg,"Keigo Higashino, Bảo Ngọc (dịch)"
